,Apogee_km
0,23672.694055054366
1,24071.519437187115
2,20395.90516655137
3,18892.957172087165
4,16420.944274979553
5,21738.309678859143
6,15860.131175998189
7,19617.18245011578
8,22314.239296572323
9,19278.845791888187
10,20601.627425874638
11,21615.90682009035
12,17731.018939784713
13,22909.20381018528
14,21818.76737920966
15,23022.768749845352
16,21841.078057745035
17,19733.117818363226
18,18392.35960360703
19,18050.779342952766
20,17325.215503260377
21,17191.79638924743
22,24125.67884852382
23,17110.034724765665
24,17274.330016255484
25,20309.97360323488
26,24015.695339005564
27,17194.936175276503
28,20288.515008100807
29,12466.853326997825
30,19111.430720312514
31,25657.904378841566
32,22626.01308599641
33,21763.18318063035
34,22029.5165791614
35,14662.894054280663
36,17711.617675838996
37,24025.339235140862
38,22669.939733754458
39,22802.589857825726
40,20733.717547779557
41,16366.04571917137
42,17050.731391185975
43,21338.526101979925
44,17528.418198574902
45,14688.322987930882
46,14600.535723710462
47,17785.326373510194
48,19809.762359480334
49,21805.567243320565
50,21958.32671655636
51,20293.67932299148
52,20875.28381761474
53,24427.358689560282
54,24235.46894166984
55,16520.437149432226
56,17388.5680907071
57,22330.92030188159
58,18663.890482026294
59,26099.377595697333
60,21167.481321817144
61,26020.081315677955
62,15499.75976847429
63,19927.72935823371
64,16410.1528442965
65,23000.960873120683
66,19842.791114458214
67,18729.052329807833
68,20933.780448109115
69,14573.297957188464
70,19292.820180085244
71,16549.191269041377
72,23533.2829949383
73,19977.302696613075
74,17376.43884470972
75,18171.082311480248
76,21824.44172468263
77,23031.46077578162
78,19279.300391819244
79,14159.25862003406
80,21144.602055310854
81,24934.83615260845
82,16748.237118118526
83,17419.03443402426
84,18844.26420319446
85,18587.288420143424
86,20885.665427216736
87,22065.890334708136
88,21855.19158483386
89,19677.967568535725
90,19276.436775109058
91,19494.565989218245
92,22386.67357661551
93,24641.576907741084
94,19042.463894187877
95,13013.245233441277
96,22570.11649713698
97,21361.85946904498
98,21579.833123979446
99,24360.85737413816
