,Apogee_km
0,26510.83808040214
1,27591.54676383413
2,25370.496204609906
3,31185.1163397029
4,27812.16705280225
5,28373.93053926922
6,26168.777091123004
7,26600.063083532023
8,26288.608942648858
9,25651.55716914066
10,26872.663504396976
11,26204.87278157469
12,27121.41709316522
13,26888.492828859315
14,26850.0228391871
15,25664.29537837289
16,28366.814942226807
17,28831.381386370234
18,27281.78202018241
19,26889.85891779719
20,26689.61576294462
21,26131.067172995594
22,25820.05565865058
23,26629.256178440723
24,28716.65130188634
25,28216.301758945596
26,26802.16778144137
27,26857.844849550056
28,25898.213270212105
29,27685.424334665873
30,28507.298272852582
31,26389.097962557338
32,28878.57732039354
33,25982.19008680968
34,24649.349436823293
35,28479.87000718823
36,26855.527938741445
37,27650.837950621244
38,28587.59563061905
39,26931.91980594428
40,26639.31369802481
41,27276.134238579358
42,26366.706831503416
43,25595.38743012737
44,25509.346703076186
45,27205.38382107907
46,26615.277082474582
47,25466.17494081516
48,27793.55286753477
49,28474.794894355437
50,26459.972411385046
51,27863.656690890733
52,27545.485026522292
53,24848.40516104127
54,27856.653025581476
55,27829.129673858093
56,26321.09281383588
57,28347.66670661565
58,29802.641527087126
59,26480.39544275505
60,29051.17628303782
61,25251.981613582895
62,27745.27939418293
63,28831.395632535692
64,26182.3739930237
65,29746.706907749227
66,26122.23090939114
67,28189.56095012188
68,26470.12158631801
69,27051.954878010052
70,26228.950230091792
71,26751.55851946069
72,27562.56925442743
73,25887.44330678551
74,25320.46996519508
75,24601.061511389915
76,26289.888467331893
77,33991.72259799081
78,28097.5953123899
79,25232.601154509342
80,26573.268983020695
81,28070.305548989032
82,30083.877940040533
83,25475.196112068985
84,28754.96401936937
85,29711.93186141592
86,27757.664063844284
87,28764.48375501992
88,26367.18687150996
89,26571.778373236513
90,27638.528338098924
91,25759.605573627123
92,29604.50359891216
93,26739.592986037438
94,27005.026907825242
95,28786.842526142485
96,26930.384521468433
97,27029.65887099345
98,27995.631189209125
99,24753.65456929757
